"Temperature","Length"
0,30.788
0,31.879
0,29.878
0,29.641
0,28.495
0,35.762
0,31.734
0,30.154
0,32.716
0,30.801
0,33.639
0,32.33
0,29.666
0,30.041
0,33.704
0,34.279
0,30.599
0,29.764
0,36.338
0,29.903
200,28.927
200,31.644
200,26.953
200,28.73
200,28.542
200,31.058
200,28.618
200,33.754
200,24.924
200,27.964
200,28.999
200,30.879
200,32.225
200,26.363
200,30.559
200,29.813
200,40.089
200,32.201
200,26.095
200,24.927
600,19.824
600,20.655
600,21.851
600,22.466
600,24.032
600,22.703
600,22.21
600,22.889
600,21.687
600,21.596
600,28.646
600,20.236
600,22.695
600,21.203
600,19.585
600,25.577
600,21.414
600,21.46
600,27.518
600,21.016
800,21.403
800,15.592
800,21.323
800,31.493
800,15.492
0,35.099
0,35.573
0,34.27
0,44.355
0,33.3
0,34.745
0,35.232
0,33.421
0,37.425
0,36.216
0,35.607
0,36.478
0,33.919
0,36.379
0,38.068
0,39.225
0,33.603
0,34.753
0,36.203
0,35.29
150,32.381
150,32.178
150,28.261
150,29.922
150,30.418
150,32.65
150,31.963
150,41.061
150,26.484
150,30.096
150,33.803
150,30.539
150,30.46
150,27.719
150,27.652
150,26.678
150,27.154
150,27.451
150,27.791
150,30.831
175,27.251
175,29.933
175,29.468
175,24.677
175,27.311
175,28.495
175,29.498
175,28.813
175,28.495
175,30.792
175,31.133
175,30.323
175,26.046
175,28.232
175,29.618
175,29.151
175,26.973
175,26.092
175,31.319
175,25.245
225,31.215
225,32.741
225,28.346
225,28.704
225,32.732
225,30.359
225,24.013
225,31.272
225,32.23
225,30.226
225,33.277
225,33.012
225,29.507
225,33.945
225,34.463
225,31.36
225,32.282
225,29.734
225,30.607
225,32.259
250,26.046
250,29.463
250,26.695
250,26.61
250,29.518
250,34.988
250,27.193
250,27.311
250,26.295
250,26.738
250,25.131
250,26.803
250,26.728
250,29.06
250,27.251
250,27.048
250,27.361
250,26.85
250,26.884
250,31.601
275,30.032
275,31.887
275,32.455
275,31.522
275,31.811
275,32.51
275,27.275
275,30.665
275,31.297
275,34.011
275,31.179
275,26.295
275,30.831
275,30.857
275,28.988
275,29.219
275,33.413
275,27.711
275,33.46
275,27.513
300,32.46
300,23.096
300,30.602
300,33.569
300,25.677
300,30.23
300,24.644
300,25.257
300,31.303
300,32.691
300,22.343
300,26.167
300,36.41
300,34.545
300,34.793
300,26.684
300,31.997
300,32.643
300,30.831
300,29.842
325,39.162
325,33.936
325,29.33
325,37.1
325,39.728
325,30.523
325,32.993
325,30.691
325,31.925
325,32.11
325,28.049
325,33.54
325,33.232
325,23.797
325,30.475
325,28.784
325,32.58
325,32.527
325,32.242
325,29.898
350,31.571
350,30.573
350,36.634
350,28.974
350,25.326
350,27.431
350,32.253
350,30.721
350,37.401
350,27.345
350,27.173
350,30.637
350,31.606
350,28.974
350,29.635
350,25.15
350,24.111
350,30.174
350,24.53
350,29.118
375,24.381
375,24.292
375,23.925
375,22.976
375,28.575
375,28.69
375,30.034
375,26.115
375,29.562
375,42.357
375,22.341
375,34.263
375,21.529
375,21.228
375,16.441
375,27.933
375,30.123
375,30.233
375,29.417
375,23.655
